file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,1,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,2,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,103
static\style.css,3,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,114
static\style.css,4,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,72
static\style.css,5,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,6,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,7,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,8,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,9,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,10,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,63
static\style.css,11,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,78
static\style.css,12,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,45
static\style.css,13,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,14,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,6
static\style.css,15,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,75
static\style.css,16,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,55
static\style.css,17,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,73
static\style.css,18,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,58
static\style.css,19,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,20,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,21,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,50
static\style.css,22,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,23,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,24,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,109
static\style.css,25,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,26,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,5
static\style.css,27,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,93
static\style.css,28,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,69
static\style.css,29,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,43
static\style.css,30,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,37
static\style.css,31,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,13
static\style.css,32,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,33
static\style.css,33,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,34,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,35,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,39
static\style.css,36,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,37,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,38,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,45
static\style.css,39,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,75
static\style.css,40,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,83
static\style.css,41,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,42,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,3
static\style.css,43,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,14
static\style.css,44,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,45,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,6
static\style.css,46,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,7
static\style.css,47,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,17
static\style.css,48,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,49,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,50,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,46
static\style.css,51,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,4
static\style.css,52,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,51
static\style.css,53,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
static\style.css,54,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,56
static\style.css,55,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,24
static\style.css,56,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,57,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,40
static\style.css,58,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,59,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
static\style.css,60,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,42
static\style.css,61,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,16
static\style.css,62,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,6
static\style.css,63,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,11
static\style.css,64,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,65,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,66,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,67,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,58
static\style.css,68,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,6
static\style.css,69,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,63
static\style.css,70,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,74
static\style.css,71,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,14
static\style.css,72,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,18
static\style.css,73,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,14
static\style.css,74,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
